workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
small	async	0	354742	5.002	70924.58	1.30	2.60	4.30	169486352	10748512	10735592	57	56	65	34	3.03	3.16	0	0
small	direct	0	191582	5.001	38311.86	1.90	6.20	11.70	167319560	10762104	10790168	57	56	32	47	2.84	2.90	0	0
small	enqueue	0	231660	5.001	46320.76	1.40	4.50	11.10	169484008	11149032	11168416	141	140	29	34	2.76	2.88	0	0
slow	async	0	1568	5.312	295.17	320.50	550.00	657.90	71360864	10543456	10630440	56	55	0	0	3.36	3.42	0	0
slow	direct	0	1536	5.317	288.89	327.40	593.10	660.90	70326928	10558096	10612448	57	56	0	0	6.01	6.08	0	0
slow	enqueue	0	1536	5.284	290.69	110.20	1619.40	2933.90	60144472	10861400	11053448	139	138	0	0	4.40	4.47	0	0
pods	async	0	394236	5.001	78829.41	1.20	2.40	3.60	170117048	10802040	10906400	57	56	71	35	3.20	3.29	0	0
pods	direct	0	390224	5.001	78031.44	1.20	2.40	3.70	168391776	10829952	10907104	57	56	68	36	2.80	2.90	0	0
pods	enqueue	0	302375	5.001	60467.89	1.20	3.60	5.60	169675360	11264112	11305192	142	140	41	31	2.71	2.79	0	0
large	async	0	6030	5.075	1188.18	66.40	170.70	267.50	161945464	10791544	10876000	57	56	2	2	2.99	3.08	0	0
large	direct	0	5853	5.079	1152.32	67.30	186.00	274.60	159583728	10685936	10798544	57	56	1	1	3.00	3.10	0	0
large	enqueue	0	5773	5.061	1140.76	62.60	224.50	382.80	120113584	11061680	11133472	139	137	1	1	4.36	4.42	0	0
consumer	async	0	1887	5.257	358.98	259.90	473.20	652.00	92498128	10709200	10892368	57	56	0	0	11.96	12.09	0	0
consumer	direct	0	1982	5.266	376.38	194.10	507.20	731.70	95532240	10597584	10843952	57	56	0	0	2.86	2.95	0	0
consumer	enqueue	0	1857	5.272	352.22	177.20	817.90	1252.10	64315544	10838168	11009792	142	141	0	0	2.77	2.91	0	0
small	direct	1	365267	5.002	73029.87	1.30	2.50	3.60	168434160	10872624	10885680	57	56	64	35	4.46	4.60	0	0
small	enqueue	1	301007	5.001	60194.90	1.30	3.20	5.50	168613872	11136960	11074792	135	134	38	26	4.42	4.53	0	0
small	async	1	501029	5.001	100192.34	1.10	1.70	2.30	169763648	10777000	10817256	57	56	94	41	4.70	4.81	0	0
slow	direct	1	1536	5.253	292.41	324.30	546.30	661.30	71386896	10569488	10701392	57	56	0	0	4.56	4.60	0	0
slow	enqueue	1	1568	5.296	296.06	108.70	1673.60	3310.80	62257744	10877520	11063712	139	138	0	0	4.16	4.34	0	0
slow	async	1	1536	5.266	291.68	320.80	651.30	883.20	72445888	10579904	10590168	57	56	0	0	5.28	5.32	0	0
pods	direct	1	493108	5.001	98606.88	1.10	1.80	2.40	169649384	10871368	11032600	57	56	93	41	3.93	4.10	0	0
pods	enqueue	1	367672	5.001	73520.54	1.10	2.70	3.40	168697456	11222272	11296048	141	140	51	42	4.54	4.61	0	0
pods	async	1	501591	5.001	100303.12	1.10	1.70	2.20	168724056	10890648	10951552	57	56	96	42	5.19	5.32	0	0
large	direct	1	6309	5.062	1246.46	63.60	166.90	288.80	169369024	10728784	10845728	57	56	2	1	4.29	4.41	0	0
large	enqueue	1	6596	5.057	1304.35	60.80	164.60	280.80	120150416	11098512	11130800	138	137	1	1	4.98	5.06	0	0
large	async	1	6348	5.069	1252.42	64.40	163.90	247.50	169171760	10836784	10874960	57	56	2	1	5.44	5.56	0	0
consumer	direct	1	1953	5.252	371.88	250.90	491.50	617.40	92469936	10681008	10712000	57	56	0	0	4.82	4.96	0	0
consumer	enqueue	1	1856	5.252	353.39	172.80	830.00	1434.40	63353496	10924696	11090800	139	138	0	0	4.92	5.06	0	0
consumer	async	1	1944	5.265	369.24	258.60	450.90	536.40	93529464	10691960	10768416	57	56	0	0	4.09	4.17	0	0
small	enqueue	2	372707	5.001	74523.84	1.20	2.50	3.10	168669480	11144664	11194408	144	143	47	37	4.23	4.33	0	0
small	async	2	524149	5.001	104810.92	1.00	1.60	2.00	169477136	10811376	10807136	57	56	95	41	4.90	5.02	0	0
small	direct	2	524675	5.001	104919.11	1.00	1.60	2.00	169522048	10828456	10891216	57	56	89	38	4.39	4.47	0	0
slow	enqueue	2	1536	5.218	294.38	110.30	1436.20	2212.00	60178424	10895352	11131968	139	137	0	0	6.21	6.37	0	0
slow	async	2	1536	5.242	293.02	222.40	651.60	1206.30	74517544	10554408	10655400	57	56	0	0	5.91	5.97	0	0
slow	direct	2	1536	5.247	292.72	317.70	653.60	761.50	70312936	10544104	10623328	57	56	0	0	4.07	4.13	0	0
pods	enqueue	2	358388	5.000	71671.35	1.20	2.70	3.30	168723656	11203464	11275608	141	140	49	31	4.19	4.27	0	0
pods	async	2	499750	5.001	99932.95	1.10	1.70	2.00	169890024	10946432	10898264	57	56	99	43	4.29	4.45	0	0
pods	direct	2	504354	5.001	100855.50	1.10	1.70	2.10	169604640	10910192	10921264	57	56	86	37	4.00	4.12	0	0
large	enqueue	2	6554	5.065	1294.06	61.50	165.00	285.50	120085312	11033408	11140664	138	137	1	1	4.21	4.29	0	0
large	async	2	5965	5.065	1177.61	66.00	185.20	306.30	163151080	10803096	10768952	57	56	2	1	4.61	4.69	0	0
large	direct	2	6083	5.068	1200.21	65.40	168.00	261.00	162223464	10784136	10823512	57	56	2	2	4.10	4.21	0	0
consumer	enqueue	2	1856	5.264	352.61	171.50	889.00	1401.30	64412232	10934856	11110760	139	138	0	0	5.34	5.44	0	0
consumer	async	2	1952	5.265	370.76	252.80	451.70	617.20	95612152	10677496	10759952	57	56	0	0	5.49	5.53	0	0
consumer	direct	2	1922	5.271	364.61	247.60	507.80	671.80	90384072	10692296	10884416	57	56	0	0	5.16	5.29	0	0
