workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
small	async	0	218630	5.008	43658.06	1.90	5.50	11.30	169572032	10652896	10686304	50	49	37	31	3.61	3.64	0	0
small	direct	0	307822	5.001	61550.14	0.80	3.90	5.60	169439760	10638568	10726488	44	43	51	25	2.28	2.38	0	0
small	enqueue	0	216251	5.001	43238.47	1.80	4.60	7.00	168676104	11096624	11166168	143	140	27	18	2.62	2.75	0	0
slow	async	0	1600	5.310	301.32	212.20	742.10	1165.40	51346272	10451808	10604600	52	51	1	1	3.46	3.53	0	0
slow	direct	0	1600	5.318	300.87	215.40	842.20	948.20	52425232	10482192	10656992	58	57	1	1	2.81	2.85	0	0
slow	enqueue	0	1568	5.253	298.50	109.30	1184.50	2038.30	48678856	10930120	11048752	141	140	0	0	4.86	5.02	0	0
pods	async	0	264578	5.002	52899.62	1.60	4.10	5.40	169749896	10895824	10957056	58	57	46	32	3.15	3.27	0	0
pods	direct	0	362819	5.001	72545.46	0.60	3.40	4.20	168535296	10874368	10888592	58	57	63	30	3.57	3.61	0	0
pods	enqueue	0	270655	5.002	54111.27	1.90	3.60	4.80	168783912	11231976	11284480	142	141	37	23	3.40	3.43	0	0
large	async	0	5305	5.082	1043.91	70.20	211.30	351.10	170188512	10804960	10832256	58	57	1	1	2.94	3.02	0	0
large	direct	0	5246	5.078	1033.16	68.80	247.30	431.00	169017440	10682464	10784296	58	57	1	0	2.40	2.49	0	0
large	enqueue	0	5569	5.072	1098.01	64.40	224.90	391.10	152595216	11037456	11214816	115	114	0	0	2.75	2.84	0	0
consumer	async	0	2121	5.229	405.60	160.50	499.50	727.50	101688720	10462608	10648968	58	57	0	0	3.11	3.20	0	0
consumer	direct	0	2208	5.216	423.34	157.40	519.10	780.90	104846088	10474248	10706480	58	57	0	0	2.22	2.26	0	0
consumer	enqueue	0	2080	5.226	397.97	159.10	650.40	1292.50	51743600	10849136	11113288	139	137	1	2	5.81	5.93	0	0
small	direct	1	370568	5.001	74098.63	0.60	3.10	3.90	168537264	10820632	10848456	58	57	60	28	3.42	3.53	0	0
small	enqueue	1	256215	5.001	51230.29	1.90	4.00	5.50	168641072	11089496	11172528	141	140	32	20	2.58	2.70	0	0
small	async	1	310810	5.001	62148.61	0.90	3.60	5.00	170610152	10724752	10713880	58	57	53	26	3.14	3.20	0	0
slow	direct	1	1568	5.235	299.53	212.50	957.00	1188.40	52416728	10473688	10664208	58	57	1	2	4.87	5.05	0	0
slow	enqueue	1	1600	5.236	305.60	106.30	1449.00	2811.40	48629216	10880480	11085592	139	138	0	0	4.45	4.57	0	0
slow	async	1	1568	5.245	298.97	214.30	746.40	1914.10	52421536	10478496	10587280	55	54	1	11	2.48	2.53	0	0
pods	direct	1	216920	5.005	43341.50	2.00	5.00	9.10	169591344	10815888	10820976	58	57	37	68	3.85	3.91	0	0
pods	enqueue	1	196730	5.001	39336.05	1.80	5.50	9.80	168862344	11202192	11231912	121	118	27	26	2.97	3.04	0	0
pods	async	1	282335	5.014	56312.29	1.20	3.90	5.70	168794744	10844328	10873568	58	57	52	40	2.77	2.85	0	0
large	direct	1	5515	5.073	1087.19	66.40	226.30	394.20	170093024	10709472	10770736	58	57	1	5	3.19	3.27	0	0
large	enqueue	1	5084	5.078	1001.27	69.40	247.40	456.10	141119184	11095760	11202632	139	137	0	0	2.85	2.91	0	0
large	async	1	5183	5.073	1021.77	69.30	251.70	454.90	170077792	10694240	10812240	51	50	1	1	3.18	3.25	0	0
consumer	direct	1	2229	5.234	425.90	172.30	517.90	776.40	105950800	10530384	10697336	58	57	0	0	5.98	6.04	0	0
consumer	enqueue	1	2110	5.231	403.40	159.10	622.70	1100.20	52735272	10792232	11076000	139	138	1	1	4.63	4.79	0	0
consumer	async	1	2145	5.240	409.37	158.80	541.70	782.20	102837536	10562848	10648392	58	57	0	0	4.40	4.45	0	0
small	enqueue	2	274175	5.001	54822.06	1.80	3.60	4.60	168664952	11103176	11111784	141	140	35	20	2.60	2.68	0	0
small	async	2	334822	5.001	66947.35	0.70	3.50	4.50	168601376	10733880	10743936	58	57	57	27	2.59	2.62	0	0
small	direct	2	309380	5.001	61859.20	0.90	3.70	4.80	169398128	10672848	10691920	58	57	50	27	2.78	2.82	0	0
slow	enqueue	2	1568	5.228	299.94	109.00	1178.70	2117.90	48671712	10922976	11073952	142	141	0	0	5.06	5.21	0	0
slow	async	2	1600	5.303	301.71	212.20	846.10	1364.60	52444240	10501200	10689960	58	57	1	2	4.98	5.05	0	0
slow	direct	2	1568	5.221	300.35	216.60	820.60	1142.00	52477088	10534048	10685024	47	46	1	5	3.70	3.77	0	0
pods	enqueue	2	166547	5.003	33287.63	2.00	7.60	14.10	169800488	11234896	11208616	141	140	23	27	3.54	3.58	0	0
pods	async	2	304556	5.002	60892.43	0.90	3.70	4.80	168545152	10753096	10880696	58	57	54	28	3.56	3.64	0	0
pods	direct	2	254743	5.002	50927.35	1.40	4.30	7.10	168614488	10868648	10932176	58	57	43	36	2.59	2.62	0	0
large	enqueue	2	5212	5.093	1023.40	67.40	247.20	444.20	141112976	11089552	11148680	138	137	0	0	3.26	3.37	0	0
large	async	2	5714	5.074	1126.21	64.10	226.70	342.30	170113944	10730392	10814728	55	54	1	1	3.42	3.48	0	0
large	direct	2	5960	5.068	1176.03	63.40	205.10	303.20	170063320	10679768	10805728	54	53	1	1	3.59	3.67	0	0
consumer	enqueue	2	2110	5.228	403.62	158.70	713.40	1030.30	51821064	10926600	11160840	138	137	1	1	2.81	2.94	0	0
consumer	async	2	2121	5.236	405.07	163.70	602.00	898.20	104840904	10469064	10760128	58	57	0	0	3.37	3.39	0	0
consumer	direct	2	2207	5.236	421.54	157.50	523.80	776.30	104872064	10500224	10653680	58	57	0	0	3.64	3.73	0	0
